?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHMO_0002325>	"A separation method where colloidal particles move at different speeds according to their dielectrophoretic mobilities in a separation medium, across which an alternating electric field is applied."	
<http://purl.obolibrary.org/obo/CHMO_0001722>	"A detection method which is sensitive to naturally fluorescent or tagged compounds. As the sample passes through a small cell it is excited by a focused ultraviolet laser and any fluorescence is detected."	
<http://purl.obolibrary.org/obo/CHMO_0002768>	"A piece of apparatus connecting a gas chromatograph to a mass spectrometer."	
<http://purl.obolibrary.org/obo/CHMO_0002593>	"A carbon electrode that has been fired at a temperature around 2800 K, resulting in a largely graphitic composition."	
<http://purl.obolibrary.org/obo/CHMO_0000314>	"X-ray emission spectroscopy where the energy spectrum of the X-rays emitted due to core-to-core transitions is measured using a diffraction grating or crystal."	
<http://purl.obolibrary.org/obo/CHMO_0002666>	"The simultaneous collection of AFM topography data and spatially-resolved infrared spectra by measuring the infrared absorption via transient deformation of the AFM cantilever induced by an infrared pulsed laser (tuned to a wavelength that corresponds to a vibrational absorbing wavelength in the specimen) as a function of AFM tip position. The specimen is deposited on an ATR-compatible ZnSe prism and infrared light is introduced into the prism at an angle exceeding the critical angle for internal reflection. This produces an evanescent wave at the reflecting surface."	
<http://purl.obolibrary.org/obo/CHMO_0002363>	"Data which is obtained from a scattering experiment."	
<http://purl.obolibrary.org/obo/CHMO_0002624>	"A plot of intensity vs. magnetic field strength obtained by measuring the absorption of radiation due to spin-state transitions of unpaired electrons against a perturbing magnetic field, in the presence of fixed-frequency microwave radiation of approximate frequency 9 GHz (known as the 'X-band')."	
<http://purl.obolibrary.org/obo/CHMO_0001616>	"A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die in the presence of a pressurised fluid."	
<http://purl.obolibrary.org/obo/CHMO_0002462>	"A two-dimensional separation method where the sample is first subjected to liquid chromatography followed by capillary electrophoresis."	
<http://purl.obolibrary.org/obo/CHMO_0000336>	"Spectroscopy where the sample is bombarded with an electron beam and the energy threshold for excitation is determined by measuring the total electron current incident on the sample target."	
<http://purl.obolibrary.org/obo/CHMO_0000721>	"Spectroscopy where the energy states of spin-active nuclei placed in a static (>900 MHz) magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them."	
<http://purl.obolibrary.org/obo/CHMO_0000271>	"Inductively coupled plasma atomic emission spectroscopy where the sample mixture is first separated by liquid chromatography."	
<http://purl.obolibrary.org/obo/CHMO_0000136>	"A method where the profile of a surface is determined by moving a diamond stylus laterally across it at a specified contact force and measuring its vertical displacement."	
<http://purl.obolibrary.org/obo/CHMO_0000261>	"A type of atomic emission spectrometry where a finely focused (<10 m diameter) high energy laser pulse is used to generate a plasma which acts as the excitation source."	
<http://purl.obolibrary.org/obo/OBI_0000372>	"A material separation function is a function that increases the resolution between two or more material entities. The  to distinction between the entities is usually based on some associated physical quality."@en	
<http://purl.obolibrary.org/obo/PATO_0000018>	"A luminous flux quality inhering in a bearer by virtue of the bearer's emitting longer wavelength light following the absorption of shorter wavelength radiation; fluorescence is common with aromatic compounds with several rings joined together."	
<http://purl.obolibrary.org/obo/CHMO_0001358>	"A synthesis method where an electron beam is used to decompose gaseous molecules leading to deposition of a solid on a nearby substrate."	
<http://purl.obolibrary.org/obo/CHMO_0000720>	"Spectroscopy where the energy states of 33S nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them."	
<http://purl.obolibrary.org/obo/CHMO_0000016>	"An electrochemical technique where the potential difference between the indicator and reference electrodes is measured under conditions where the current passed is sufficiently small to maintain thermodynamic equilibrium."	
<http://purl.obolibrary.org/obo/CHMO_0001633>	"A technique for separating particles from solution by placing the sample in a narrow channel within a centrifuge such that the centripetal force is applied perpendicular to the flow stream (driving the particles towards the walls of the channel). A carrier liquid is then passed through the channel removing the smallest particles first."	
<http://purl.obolibrary.org/obo/CHMO_0000009>	"An electrochemical technique where the cell direct current is measured whilst the potential difference between the indicator and reference electrodes is controlled."	
<http://purl.obolibrary.org/obo/CHMO_0000377>	"Spectroscopy where the sample is bombarded with electrons and the photons emitted are detected."	
<http://purl.obolibrary.org/obo/CHMO_0000510>	"Mass spectrometry where the relative abundance of isotopes in a sample is determined by using an isotope dilution standard (the sample labelled with a rare isotope)."	
