?cls	?xref
<http://purl.obolibrary.org/obo/CHMO_0000607>	"FIX:0000143"
<http://purl.obolibrary.org/obo/CHMO_0000414>	"FIX:0000049"
<http://purl.obolibrary.org/obo/CHMO_0002400>	"FIX:0000544"
<http://purl.obolibrary.org/obo/CHMO_0001148>	"FIX:0001024"
<http://purl.obolibrary.org/obo/CHMO_0000668>	"FIX:0000060"
<http://purl.obolibrary.org/obo/CHEBI_33839>	"wikipedia.en:Macromolecule"
<http://purl.obolibrary.org/obo/OBCS_0000059>	"STATO:0000134"
<http://purl.obolibrary.org/obo/CHMO_0001029>	"sep:00155"
<http://purl.obolibrary.org/obo/CHMO_0002751>	"http://goldbook.iupac.org/F02439.html"
<http://purl.obolibrary.org/obo/CHMO_0000055>	"FIX:0000960"
<http://purl.obolibrary.org/obo/CHMO_0000585>	"FIX:0000031"
<http://purl.obolibrary.org/obo/CHMO_0000603>	"FIX:0000149"
<http://purl.obolibrary.org/obo/CHMO_0000380>	"FIX:0000688"
<http://purl.obolibrary.org/obo/CHMO_0002399>	"FIX:0000475"
<http://purl.obolibrary.org/obo/CHMO_0002756>	"https://doi.org/10.1007/BF02885029"
<http://purl.obolibrary.org/obo/PATO_0001018>	"Wikipedia:Physical_property"
<http://purl.obolibrary.org/obo/CHEBI_46729>	"cas:60676-86-0"
<http://purl.obolibrary.org/obo/CHMO_0000788>	"FIX:0000741"
<http://purl.obolibrary.org/obo/CHMO_0000774>	"FIX:0000565"
<http://purl.obolibrary.org/obo/CHMO_0001149>	"FIX:0001023"
<http://purl.obolibrary.org/obo/CHMO_0000586>	"FIX:0000018"
<http://purl.obolibrary.org/obo/CHMO_0001873>	"https://doi.org/10.1021/ja00369a027"
<http://purl.obolibrary.org/obo/CHMO_0000604>	"FIX:0000148"
<http://purl.obolibrary.org/obo/CHMO_0002373>	"FIX:0000078"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:3898376"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:15237653"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"metacyc.compound:DMSO"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:23313473"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pdb-ccd:DMS"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:6309056"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"cas:67-68-5"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:16434015"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"gmelin:1556"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:11162043"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:31489176"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:19443933"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"chemspider:659"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:4963226"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:19096138"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:4223708"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"drugbank:DB01093"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:22030943"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:23050031"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:21426213"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"wikipedia.en:Dimethyl_sulfoxide"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"lincs.smallmolecule:LSM-36361"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:22768202"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:22814967"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:15868171"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:11350866"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:3916302"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:10298633"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"kegg.drug:D01043"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:22722716"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:20828537"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:12663039"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:3510103"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"hmdb:HMDB0002151"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"knapsack:C00053120"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:15588915"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:6379027"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:11474739"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:19382398"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"foodb.food:FDB000764"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"drugcentral:906"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:28220525"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"umbbd.compound:c0236"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:4556944"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"kegg.compound:C11143"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"reaxys:506008"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:29938311"
<http://purl.obolibrary.org/obo/CHEBI_28262>	"pubmed:16522014"
<http://purl.obolibrary.org/obo/CHMO_0001026>	"sep:00149"
<http://purl.obolibrary.org/obo/CHMO_0002718>	"FIX:0000975"
<http://purl.obolibrary.org/obo/CHMO_0000665>	"FIX:0000384"
